journal_name,subject_area,print_number,online_number,journal_link
Journal of Preventive Medicine and Public Health,Medicine: Public aspects of medicine,1975-8375,2233-4521,https://doaj.org/toc/1975-8375
Adli Tıp Bülteni                            Bulletin of Legal Medicine,Medicine: Medicine (General),1300-865X,2149-4533,https://doaj.org/toc/1300-865X
Big Data Analytics                          ,Medicine: Medicine (General): Computer applications to medicine. Medical informatics,,2058-6345,https://doaj.org/toc/2058-6345
Studia Warmińskie                            The Studies of Warmia,"Philosophy. Psychology. Religion: Practical Theology: Practical religion. The Christian life: Moral theology
Philosophy. Psychology. Religion: Doctrinal Theology",0137-6624,,https://doaj.org/toc/0137-6624
Oxímora. Revista Internacional de Ética y Política                            Oxímora,"Political science
Philosophy. Psychology. Religion: Ethics",,2014-7708,https://doaj.org/toc/2014-7708
Revista Internacional de Doctrina y Jurisprudencia                            RIDJ,Law: Law in general. Comparative and uniform law. Jurisprudence,,2255-1824,https://doaj.org/toc/2255-1824
npj Regenerative Medicine,Medicine,,2057-3995,https://doaj.org/toc/2057-3995
Hellenic Journal of Cardiology,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system,1109-9666,,https://doaj.org/toc/1109-9666
JACC: Basic to Translational Science,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system,,2452-302X,https://doaj.org/toc/2452-302X
Global Health Research and Policy                          ,Medicine: Public aspects of medicine,,2397-0642,https://doaj.org/toc/2397-0642
Journal of the Egyptian Ophthalmological Society,Medicine: Ophthalmology,2090-0686,2314-6648,https://doaj.org/toc/2090-0686
Zbornik Radova: Pravni Fakultet u Novom Sadu,Law,0550-2179,2406-1255,https://doaj.org/toc/0550-2179
Journal of Lumbini Medical College,Medicine: Medicine (General),2392-4632,2542-2618,https://doaj.org/toc/2392-4632
Sālmand                            Iranian Journal of Ageing,"Medicine: Internal medicine: Special situations and conditions: Geriatrics
Medicine: Public aspects of medicine",1735-806X,,https://doaj.org/toc/1735-806X
Ciencia y Cuidado,"Medicine: Nursing
Medicine: Internal medicine: Medical emergencies. Critical care. Intensive care. First aid",1794-9831,2322-7028,https://doaj.org/toc/1794-9831
Terminàlia,Language and Literature,2013-6692,2013-6706,https://doaj.org/toc/2013-6692
"Medicinski Glasnik Specijalne Bolnice za Bolesti Štitaste Žlezde i Bolesti Metabolizma ""Zlatibor""                            Medicinski glasnik",Medicine,1821-1925,2406-131X,https://doaj.org/toc/1821-1925
Racionalna Terapija                            Rational Therapy,Medicine: Medicine (General),1821-0538,2217-8627,https://doaj.org/toc/1821-0538
Revista Cubana de Neurología y Neurocirugía,"Medicine: Surgery
Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system",,2225-4676,https://doaj.org/toc/2225-4676
Opšta Medicina                            General Practice,Medicine: Medicine (General),0354-7132,2217-3994,https://doaj.org/toc/0354-7132
Kom: Časopis za Religijske Nauke                            Journal of Religious Sciences,Philosophy. Psychology. Religion,2334-6396,2334-8046,https://doaj.org/toc/2334-6396
Journal of Research in Dental and Maxillofacial Sciences                            JRDMS,Medicine: Dentistry,,2383-2754,https://doaj.org/toc/2383-2754
Serbian Journal of Anesthesia and Intensive Therapy                            Srpski Časopis Anestezija i Intenzivna Terapija,Medicine: Surgery: Anesthesiology,,2466-488X,https://doaj.org/toc/2466-488X
Endocrine Oncology and Metabolism                            EOM,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens,1849-8922,1849-9031,https://doaj.org/toc/1849-8922
Canadian Oncology Nursing Journal                            Revue Canadienne de Soins Infirmiers en Oncologie,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens,1181-912X,2368-8076,https://doaj.org/toc/1181-912X
International Journal of Health Preference Research,Medicine: Public aspects of medicine,,2371-5529,https://doaj.org/toc/2371-5529
International Journal of Hospital Based Health Technology Assessment,Medicine: Medicine (General): Medical technology,,2371-5359,https://doaj.org/toc/2371-5359
Pathogens and Immunity                            Pathogens & Immunity,"Medicine: Pathology
Medicine: Internal medicine: Specialties of internal medicine: Immunologic diseases. Allergy",,2469-2964,https://doaj.org/toc/2469-2964
QUT Law Review                            QUTLR,Law: Law in general. Comparative and uniform law. Jurisprudence,,2201-7275,https://doaj.org/toc/2201-7275
The Lancet Public Health,Medicine: Public aspects of medicine,,2468-2667,https://doaj.org/toc/2468-2667
Indian Journal of Burns,"Medicine: Nursing
Medicine: Surgery",0971-653X,2321-1415,https://doaj.org/toc/0971-653X
Psihološka Istraživanja,Philosophy. Psychology. Religion: Psychology,0352-7379,2560-306X,https://doaj.org/toc/0352-7379
Revista Argentina de Microbiología,"Medicine: Internal medicine: Infectious and parasitic diseases
Science: Microbiology",0325-7541,1851-7617,https://doaj.org/toc/0325-7541
JPRAS Open,Medicine: Surgery,,2352-5878,https://doaj.org/toc/2352-5878
Revista Médica del Hospital General de México,Medicine: Medicine (General),0185-1063,,https://doaj.org/toc/0185-1063
Pediatrics and Neonatology,Medicine: Pediatrics,1875-9572,,https://doaj.org/toc/1875-9572
Cuadernos.info,Language and Literature: Philology. Linguistics: Communication. Mass media,0719-3661,0719-367X,https://doaj.org/toc/0719-3661
Kaohsiung Journal of Medical Sciences,Medicine: Medicine (General),1607-551X,2410-8650,https://doaj.org/toc/1607-551X
One Health,Medicine: Medicine (General),,2352-7714,https://doaj.org/toc/2352-7714
Medicinski Podmladak                            Med Podmladak,Medicine,0369-1527,2466-5525,https://doaj.org/toc/0369-1527
Addictive Behaviors Reports,"Philosophy. Psychology. Religion: Psychology
Social Sciences: Social pathology. Social and public welfare. Criminology",,2352-8532,https://doaj.org/toc/2352-8532
Journal of Pharmacological Sciences,Medicine: Therapeutics. Pharmacology,1347-8613,,https://doaj.org/toc/1347-8613
Taiwanese Journal of Obstetrics & Gynecology,Medicine: Gynecology and obstetrics,1028-4559,,https://doaj.org/toc/1028-4559
Journal of Current Ophthalmology,Medicine: Ophthalmology,,2452-2325,https://doaj.org/toc/2452-2325
Journal of Dental Sciences,Medicine: Dentistry,1991-7902,,https://doaj.org/toc/1991-7902
Asian Nursing Research,Medicine: Nursing,1976-1317,,https://doaj.org/toc/1976-1317
Soft Power: Revista Euro-Americana de Teoría e Historia de la Política,Political science: Political institutions and public administration (General),2389-8232,,https://doaj.org/toc/2389-8232
Malang Neurology Journal,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry,2407-6724,2442-5001,https://doaj.org/toc/2407-6724
Current Problems of Psychiatry,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry,,2353-8627,https://doaj.org/toc/2353-8627
Vìsnik Dnìpropetrovsʹkogo Unìversitetu: Serìâ Psihologìâ                            Dnipropetrovsk University Bulletin: Series Psychology,Philosophy. Psychology. Religion: Psychology,2414-9268,2415-7244,https://doaj.org/toc/2414-9268
Ufuq-i Dānish                            Horizon of Medical Sciences,Medicine: Medicine (General),1735-1855,2252-0805,https://doaj.org/toc/1735-1855
Revista de Psicología y Ciencias del Comportamiento de la Unidad Académica de Ciencias Jurídicas y Sociales,"Philosophy. Psychology. Religion: Psychology
Social Sciences: Social sciences (General)",2007-1833,,https://doaj.org/toc/2007-1833
Anuario de Derechos Humanos,Law: Law in general. Comparative and uniform law. Jurisprudence,0718-2058,0718-2279,https://doaj.org/toc/0718-2058
Revista Investigações                            Investigações,"Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar
Language and Literature: Literature (General)",0104-1320,2175-294X,https://doaj.org/toc/0104-1320
Entrelinhas,"Language and Literature: Philology. Linguistics
Language and Literature: Literature (General)",,1806-9509,https://doaj.org/toc/1806-9509
Prolegómenos,Law,0121-182X,1909-7727,https://doaj.org/toc/0121-182X
Revista Médica Clínica Las Condes,Medicine,0716-8640,2531-0186,https://doaj.org/toc/0716-8640
Cirugía Cardiovascular,Medicine: Surgery,1134-0096,2386-3854,https://doaj.org/toc/1134-0096
Family Practice and Palliative Care,Medicine: Public aspects of medicine,2458-8865,2459-1505,https://doaj.org/toc/2458-8865
Tropical Medicine and Infectious Disease,Medicine,,2414-6366,https://doaj.org/toc/2414-6366
Espaço Jurídico                            Espaço Jurídico: Journal of Law,Law,1519-5899,2179-7943,https://doaj.org/toc/1519-5899
New Medicine,Medicine,1427-0994,1731-2507,https://doaj.org/toc/1427-0994
Perseitas,"Philosophy. Psychology. Religion: Practical Theology
Philosophy. Psychology. Religion: Doctrinal Theology",,2346-1780,https://doaj.org/toc/2346-1780
Ophthalmology Journal,Medicine: Ophthalmology,2450-7873,2450-9930,https://doaj.org/toc/2450-7873
Revista Finlay                            Finlay,Medicine: Internal medicine: Special situations and conditions,,2221-2434,https://doaj.org/toc/2221-2434
Psicologia Escolar e Educacional                            PEE,Philosophy. Psychology. Religion: Psychology,1413-8557,2175-3539,https://doaj.org/toc/1413-8557
Díkaion,Law: Law in general. Comparative and uniform law. Jurisprudence,0120-8942,2027-5366,https://doaj.org/toc/0120-8942
Hrvatski Dijalektološki Zbornik,Language and Literature: Philology. Linguistics,0439-691X,2459-4849,https://doaj.org/toc/0439-691X
Prolíngua,Language and Literature: Philology. Linguistics,,1983-9979,https://doaj.org/toc/1983-9979
Epistemología e Historia de la Ciencia,"Philosophy. Psychology. Religion: Speculative philosophy: Epistemology. Theory of knowledge
Science: Science (General)",,2525-1198,https://doaj.org/toc/2525-1198
PAIN Reports,Medicine: Surgery: Anesthesiology,,2471-2531,https://doaj.org/toc/2471-2531
Textos en Proceso,"Language and Literature: Romanic languages
Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature",,2001-967X,https://doaj.org/toc/2001-967X
European Journal of Case Reports in Internal Medicine                            EJCRIM,Medicine,,2284-2594,https://doaj.org/toc/2284-2594
International Journal of Whole Person Care,Medicine,,2291-918X,https://doaj.org/toc/2291-918X
Indian Journal of Social Psychiatry,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry,0971-9962,2454-8316,https://doaj.org/toc/0971-9962
Aktualności Neurologiczne                            Current Neurology,Medicine,1641-9227,2451-0696,https://doaj.org/toc/1641-9227
Jurnal Madania                            Jurnal Madania: Transformasi Islam dan Kabudayaan,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",1410-8143,2502-1826,https://doaj.org/toc/1410-8143
Siglo Cero,"Philosophy. Psychology. Religion: Psychology
Social Sciences: Industries. Land use. Labor: Labor. Work. Working class: Vocational rehabilitation. Employment of people with disabilities
Social Sciences: Social sciences (General)",0210-1696,2530-0350,https://doaj.org/toc/0210-1696
South European Journal of Orthodontics and Dentofacial Research                            SEJODR,Medicine: Dentistry,1849-5249,1849-3858,https://doaj.org/toc/1849-5249
European Integration Studies,Political science: International relations,1822-8402,2335-8831,https://doaj.org/toc/1822-8402
Bangabandhu Sheikh Mujib Medical University Journal,Medicine,2074-2908,2224-7750,https://doaj.org/toc/2074-2908
Diritto penale contemporaneo - Rivista trimestrale,Law,,2240-7618,https://doaj.org/toc/2240-7618
Revista UNISCI                            UNISCI Journal,Political science: International relations,,2386-9453,https://doaj.org/toc/2386-9453
Revista de Filología Española,Language and Literature: Philology. Linguistics,0210-9174,1988-8538,https://doaj.org/toc/0210-9174
Anales Cervantinos,Language and Literature: Literature (General),0569-9878,1988-8325,https://doaj.org/toc/0569-9878
Psychiatria i Psychologia Kliniczna                            Journal of Psychiatry and Clinical Psychology,Medicine,1644-6313,2451-0645,https://doaj.org/toc/1644-6313
Drugs and Addictive Behavior                            Drugs Addict. Behav.,"Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry: Therapeutics. Psychotherapy
Philosophy. Psychology. Religion: Psychology",,2463-1779,https://doaj.org/toc/2463-1779
Sintagma,"Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar: Semantics
Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar: Comparative grammar",0214-9141,2013-6455,https://doaj.org/toc/0214-9141
Global & Regional Health Technology Assessment,Medicine: Medicine (General): Medical technology,2284-2403,2283-5733,https://doaj.org/toc/2284-2403
Claraboia                            Revista Claraboia,"Language and Literature: Philology. Linguistics
Language and Literature: Literature (General)",,2357-9234,https://doaj.org/toc/2357-9234
Journal of Pharmaceutical Research,"Medicine: Therapeutics. Pharmacology
Medicine: Pharmacy and materia medica",0973-7200,2454-8405,https://doaj.org/toc/0973-7200
Кардіохірургія та інтервенційна кардіологія                            Cardiac Surgery and Interventional Cardiology,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system,2305-3127,,https://doaj.org/toc/2305-3127
Grafía                            Revista Grafía,"Philosophy. Psychology. Religion
Social Sciences: Social sciences (General)",1692-6250,,https://doaj.org/toc/1692-6250
Epilepsia Open,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system,,2470-9239,https://doaj.org/toc/2470-9239
"Global Health, Epidemiology and Genomics",Medicine: Public aspects of medicine,,2054-4200,https://doaj.org/toc/2054-4200
Promotion de la santé et prévention des maladies chroniques au Canada,Medicine: Medicine (General),,2368-7398,https://doaj.org/toc/2368-7398
Health Promotion and Chronic Disease Prevention in Canada,Medicine: Medicine (General),,2368-738X,https://doaj.org/toc/2368-738X
"The Person and the Challenges. The Journal of Theology, Education, Canon Law and Social Studies Inspired by Pope John Paul II",Philosophy. Psychology. Religion: Practical Theology: Practical religion. The Christian life,2083-8018,2391-6559,https://doaj.org/toc/2083-8018
Ginekologia Polska,Medicine: Gynecology and obstetrics,0017-0011,,https://doaj.org/toc/0017-0011
Entangled Religions - Interdisciplinary Journal for the Study of Religious Contact and Transfer                            ER,Philosophy. Psychology. Religion: Religions. Mythology. Rationalism: Religion (General),,2363-6696,https://doaj.org/toc/2363-6696
Nueva Revista de Filología Hispánica,Language and Literature,0185-0121,2448-6558,https://doaj.org/toc/0185-0121
Revista de Medicina y Cine / Journal of Medicine and Movies                            RMC/JMM,Medicine: Medicine (General),,1885-5210,https://doaj.org/toc/1885-5210
Journal of Tax Reform,Law: Law in general. Comparative and uniform law. Jurisprudence: Comparative law. International uniform law: Public finance: Revenue. Taxation. Internal revenue,2412-8872,2414-9497,https://doaj.org/toc/2412-8872
Oncobiology and Targets,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens,,2395-4469,https://doaj.org/toc/2395-4469
Learning Health Systems,"Medicine: Medicine (General)
Medicine: Public aspects of medicine",,2379-6146,https://doaj.org/toc/2379-6146
Journal of Pathology of Nepal,Medicine: Pathology,2091-0797,2091-0908,https://doaj.org/toc/2091-0797
Occupational Therapy International                          ,Medicine: Therapeutics. Pharmacology,0966-7903,1557-0703,https://doaj.org/toc/0966-7903
Journal of Global Radiology                            JGR,Medicine: Medicine (General): Medical physics. Medical radiology. Nuclear medicine,,2372-8418,https://doaj.org/toc/2372-8418
Lenguas Modernas,Language and Literature: Philology. Linguistics,0716-0542,0719-5443,https://doaj.org/toc/0716-0542
Syiar Hukum                            Jurnal Ilmu Hukum,Law: Law in general. Comparative and uniform law. Jurisprudence,2086-5449,,https://doaj.org/toc/2086-5449
Open Journal of Bioresources                          ,Medicine: Medicine (General): Computer applications to medicine. Medical informatics,,2056-5542,https://doaj.org/toc/2056-5542
Baltic Journal of Economics,"Law: Law in general. Comparative and uniform law. Jurisprudence: Comparative law. International uniform law: Public finance
Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",1406-099X,2334-4385,https://doaj.org/toc/1406-099X
Dauliyah                            Dauliyah Journal,Political science: Political science (General),2477-5460,2528-5106,https://doaj.org/toc/2477-5460
MediaTor                            Jurnal Komunikasi,Language and Literature: Philology. Linguistics: Communication. Mass media,1411-5883,,https://doaj.org/toc/1411-5883
Global Medical & Health Communication,Medicine: Medicine (General),2301-9123,2460-5441,https://doaj.org/toc/2301-9123
Interacciones: Revista de Avances en Psicología                            Interacciones,Philosophy. Psychology. Religion: Psychology,2411-5940,2413-4465,https://doaj.org/toc/2411-5940
Texto Digital                          ,"Language and Literature: Philology. Linguistics: Communication. Mass media
Language and Literature: Literature (General)",,1807-9288,https://doaj.org/toc/1807-9288
Вопросы современной педиатрии                            Current Pediatrics,Medicine: Pediatrics,1682-5527,1682-5535,https://doaj.org/toc/1682-5527
Alʹmanah Kliničeskoj Mediciny                            Almanac of Clinical Medicine,Medicine,2072-0505,2587-9294,https://doaj.org/toc/2072-0505
Contextos Clínicos,Philosophy. Psychology. Religion: Psychology,,1983-3482,https://doaj.org/toc/1983-3482
Argumenta                            Revista Argumenta,Law: Law in general. Comparative and uniform law. Jurisprudence: Jurisprudence. Philosophy and theory of law,1676-2800,2317-3882,https://doaj.org/toc/1676-2800
Ta'dib: Jurnal Pendidikan Islam,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",1411-8173,2528-5092,https://doaj.org/toc/1411-8173
"Science & Philosophy                            SCIENCE & PHILOSOPHY - JOURNAL OF EPISTEMOLOGY, SCIENCE AND PHILOSOPHY","Philosophy. Psychology. Religion
Social Sciences",2282-7757,2282-7765,https://doaj.org/toc/2282-7757
Rivista di Psicologia Clinica. Teorie e metodi dell'intervento,Philosophy. Psychology. Religion: Psychology,,1828-9363,https://doaj.org/toc/1828-9363
Jurnal Poetika                            Poetika,Language and Literature: Literature (General),2338-5383,2503-4642,https://doaj.org/toc/2338-5383
IBDA': Jurnal Kebudayaan Islam                            IBDA',"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",1693-6736,2477-5517,https://doaj.org/toc/1693-6736
Lingüística,Language and Literature: Philology. Linguistics,,2079-312X,https://doaj.org/toc/2079-312X
Einstein (São Paulo),Medicine,1679-4508,2317-6385,https://doaj.org/toc/1679-4508
RechtIdee,Law: Law in general. Comparative and uniform law. Jurisprudence,1907-5790,2502-762X,https://doaj.org/toc/1907-5790
Estudios de Filosofía Práctica e Historia de las Ideas,"Philosophy. Psychology. Religion: Speculative philosophy
Philosophy. Psychology. Religion: Philosophy (General)",1515-7180,1851-9490,https://doaj.org/toc/1515-7180
Conpedi Law Review                            Conselho Nacional de Pesquisa e Pós-Graduação em Direito Law Review,Law: Law in general. Comparative and uniform law. Jurisprudence,,2448-3931,https://doaj.org/toc/2448-3931
Revista de la Facultad de Ciencias de la Salud,Medicine: Medicine (General),0124-308X,2538-9971,https://doaj.org/toc/0124-308X
El Oído Pensante,Music and books on Music: Music,,2250-7116,https://doaj.org/toc/2250-7116
Medična Informatika ta Inženerìâ                            Medical Informatics and Engineering,Medicine: Medicine (General): Computer applications to medicine. Medical informatics,1996-1960,1997-7468,https://doaj.org/toc/1996-1960
Infection & Chemotherapy,Medicine: Internal medicine: Infectious and parasitic diseases,2093-2340,2092-6448,https://doaj.org/toc/2093-2340
Endocrine Regulations,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the endocrine glands. Clinical endocrinology,,1336-0329,https://doaj.org/toc/1336-0329
Jurnal Ilmiah Hukum: De'Jure                            Jurnal Ilmiah Hukum: De'Jure Kajian Ilmiah Hukum,Law: Law in general. Comparative and uniform law. Jurisprudence,2442-7578,2541-1594,https://doaj.org/toc/2442-7578
Revista Brasileira de Políticas Públicas e Internacionais,Political science: International relations,,2525-5584,https://doaj.org/toc/2525-5584
Anaesthesiology Intensive Therapy,"Medicine: Surgery: Anesthesiology
Medicine: Internal medicine: Medical emergencies. Critical care. Intensive care. First aid",1642-5758,1731-2531,https://doaj.org/toc/1642-5758
Cardiology Journal,Medicine: Internal medicine,1897-5593,1898-018X,https://doaj.org/toc/1897-5593
University of Bologna Law Review                            UBLR,Law,,2531-6133,https://doaj.org/toc/2531-6133
Journal of Forensic Science and Medicine,Medicine: Public aspects of medicine,2349-5014,2455-0094,https://doaj.org/toc/2349-5014
Journal of Greek Linguistics,"Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar
Language and Literature: Greek language and literature. Latin language and literature: Greek philology and language",1566-5844,1569-9846,https://doaj.org/toc/1566-5844
Revista Brasileira de Direito Processual Penal                          ,Law,,2525-510X,https://doaj.org/toc/2525-510X
Glosas                            Glosas de la ANLE,Language and Literature,2327-7173,2327-7181,https://doaj.org/toc/2327-7173
Zhongguo Jianchuan Yanjiu                            Chinese Journal of Ship Research,Naval Science: Naval architecture. Shipbuilding. Marine engineering,1673-3185,,https://doaj.org/toc/1673-3185
Precedente                            Precedente. Revista Jurídica,Law,,1657-6535,https://doaj.org/toc/1657-6535
Gestión y Análisis de Políticas Públicas                            GAPP,Political science: Political institutions and public administration (General),1134-6035,1989-8991,https://doaj.org/toc/1134-6035
Journal of Digestive Endoscopy,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology,0976-5042,0976-5050,https://doaj.org/toc/0976-5042
Journal of Medical Sciences                            Yīxué yánjiū zázhì,Medicine: Internal medicine: Medical emergencies. Critical care. Intensive care. First aid,1011-4564,2542-4939,https://doaj.org/toc/1011-4564
Tópicos,Philosophy. Psychology. Religion: Philosophy (General),0188-6649,2007-8498,https://doaj.org/toc/0188-6649
Revista de Letras,"Language and Literature: Philology. Linguistics
Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature",0101-8051,2358-4793,https://doaj.org/toc/0101-8051
Comunicologia,"Language and Literature: Philology. Linguistics: Communication. Mass media
Social Sciences",,1981-2132,https://doaj.org/toc/1981-2132
Vergentis. Revista de Investigación de la Cátedra Internacional Conjunta Inocencio III,Law,,2445-2394,https://doaj.org/toc/2445-2394
Esercizi Filosofici,Philosophy. Psychology. Religion: Philosophy (General),,1970-0164,https://doaj.org/toc/1970-0164
Anuari de Filologia. Estudis de Lingüística,Language and Literature,,2014-1408,https://doaj.org/toc/2014-1408
Perspektif Hukum                            PH,Law: Law in general. Comparative and uniform law. Jurisprudence,1411-9536,2460-3406,https://doaj.org/toc/1411-9536
Journal of Pharmaceutical and Health Sciences                            JPHS,"Medicine: Pharmacy and materia medica
Medicine: Public aspects of medicine",2228-6780,2322-4738,https://doaj.org/toc/2228-6780
Boletín de Literatura Oral,"Language and Literature: Philology. Linguistics: Communication. Mass media: Oral communication. Speech
Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature",,2173-0695,https://doaj.org/toc/2173-0695
Jurnal Pendidikan Agama Islam (Journal of Islamic Education Studies),"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",2089-1946,2527-4511,https://doaj.org/toc/2089-1946
Norsk Medietidsskrift,Language and Literature: Philology. Linguistics: Communication. Mass media,0804-8452,0805-9535,https://doaj.org/toc/0804-8452
Brawijaya Law Journal                            BLJ,Law: Law in general. Comparative and uniform law. Jurisprudence,2356-4512,2503-0841,https://doaj.org/toc/2356-4512
Journal of Research & Health,Medicine: Public aspects of medicine,,2423-5717,https://doaj.org/toc/2423-5717
Revista Clínica de Medicina de Familia,Medicine: Medicine (General),1699-695X,2386-8201,https://doaj.org/toc/1699-695X
Revista Latinoamericana de Filosofía Política,Philosophy. Psychology. Religion: Philosophy (General),,2250-8619,https://doaj.org/toc/2250-8619
Pediatric Hematology Oncology Journal,Medicine: Pediatrics,,2468-1245,https://doaj.org/toc/2468-1245
Indian Journal of Nephrology,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the genitourinary system. Urology,0971-4065,1998-3662,https://doaj.org/toc/0971-4065
Horizontes                            Revista Horizontes de Linguística Aplicada,Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar,1677-9770,2237-0951,https://doaj.org/toc/1677-9770
Secrecy and Society,"Law
Social Sciences",,2377-6188,https://doaj.org/toc/2377-6188
Philosophies                          ,"Philosophy. Psychology. Religion: Logic
Philosophy. Psychology. Religion: Philosophy (General)",,2409-9287,https://doaj.org/toc/2409-9287
The Journal of Indian Prosthodontic Society,Medicine: Dentistry,0972-4052,1998-4057,https://doaj.org/toc/0972-4052
Razavi International Journal of Medicine,Medicine,2345-6426,2345-6434,https://doaj.org/toc/2345-6426
IBJ Clinical Pharmacology                            IBJ CP,Medicine: Therapeutics. Pharmacology,,2530-4984,https://doaj.org/toc/2530-4984
Tadulako Law Review                            Talrev,Law: Law in general. Comparative and uniform law. Jurisprudence,2527-2977,2527-2985,https://doaj.org/toc/2527-2977
Revista de Estudos Literários da UEMS - REVELL                            REVELL,Language and Literature: Literature (General),,2179-4456,https://doaj.org/toc/2179-4456
Komuniti                            Komuniti UMS,Language and Literature: Philology. Linguistics: Communication. Mass media,2087-085X,,https://doaj.org/toc/2087-085X
Revista ESMAT,Law,2177-0360,2447-9896,https://doaj.org/toc/2177-0360
Revista Interamericana de Comunicação Midiática                            Animus,"Language and Literature: Philology. Linguistics: Communication. Mass media
Social Sciences: Industries. Land use. Labor: Management. Industrial management: Public relations. Industrial publicity",,2175-4977,https://doaj.org/toc/2175-4977
Caesura: Journal of Philological and Humanistic Studies,Language and Literature: Philology. Linguistics,2360-3372,2360-6681,https://doaj.org/toc/2360-3372
Safety and Health at Work,Medicine: Public aspects of medicine,2093-7911,2093-7997,https://doaj.org/toc/2093-7911
La Palabra,"Language and Literature: Literature (General)
Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature",0121-8530,2346-3864,https://doaj.org/toc/0121-8530
Journal of Preventive Epidemiology,"Medicine: Internal medicine: Specialties of internal medicine
Medicine: Internal medicine: Infectious and parasitic diseases",,2476-3934,https://doaj.org/toc/2476-3934
Machado de Assis em Linha,"Language and Literature: Literature (General)
Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature",,1983-6821,https://doaj.org/toc/1983-6821
Dermatologica Sinica                            Zhōnghuá Pífūkē Yīxué Zázhì,Medicine: Dermatology,1027-8117,2223-330X,https://doaj.org/toc/1027-8117
Journal of the Formosan Medical Association,Medicine: Medicine (General),0929-6646,,https://doaj.org/toc/0929-6646
International Journal of Gerontology,Medicine: Internal medicine: Special situations and conditions: Geriatrics,1873-9598,,https://doaj.org/toc/1873-9598
Gynecology and Minimally Invasive Therapy,Medicine: Gynecology and obstetrics,2213-3070,,https://doaj.org/toc/2213-3070
Asian Journal of Surgery,Medicine: Surgery,1015-9584,,https://doaj.org/toc/1015-9584
American Journal of Ophthalmology Case Reports,Medicine: Ophthalmology,,2451-9936,https://doaj.org/toc/2451-9936
Общая реаниматология                            General Reanimatology,Medicine: Internal medicine: Medical emergencies. Critical care. Intensive care. First aid,1813-9779,2411-7110,https://doaj.org/toc/1813-9779
Nutrition & Santé,"Technology: Home economics: Nutrition. Foods and food supply
Medicine: Medicine (General)",2253-0983,2353-026X,https://doaj.org/toc/2253-0983
Rocznik Filozoficzny Ignatianum                            The Ignatianum Philosophical Yearbook,Philosophy. Psychology. Religion: Ethics,,2300-1402,https://doaj.org/toc/2300-1402
Mukaddime,"Philosophy. Psychology. Religion: Practical Theology
Philosophy. Psychology. Religion: Doctrinal Theology",1309-6087,2459-0711,https://doaj.org/toc/1309-6087
Baqai Journal of Health Sciences                            Journal of the Baqai Medical University,Medicine: Medicine (General),2312-4423,2312-6884,https://doaj.org/toc/2312-4423
Vozes e Diálogo,Language and Literature: Philology. Linguistics: Communication. Mass media,,2237-4531,https://doaj.org/toc/2237-4531
Comillas Journal of International Relations,Political science: International relations,,2386-5776,https://doaj.org/toc/2386-5776
Cuadernos Electrónicos de Filosofía del Derecho                            CEFD,Law: Law in general. Comparative and uniform law. Jurisprudence: Jurisprudence. Philosophy and theory of law,,1138-9877,https://doaj.org/toc/1138-9877
